,110073.SH,110074.SH,110075.SH,110076.SH,110077.SH,110081.SH,110084.SH,110085.SH,110086.SH,110087.SH,110090.SH,110092.SH,110093.SH,110095.SH,110097.SH,110098.SH,110099.SH,110100.SH,111000.SH,111001.SH,111002.SH,111003.SH,111004.SH,111005.SH,111009.SH,111010.SH,111012.SH,111013.SH,111014.SH,111015.SH,111017.SH,111018.SH,111020.SH,111021.SH,111022.SH,111023.SH,111024.SH,113037.SH,113039.SH,113042.SH,113043.SH,113046.SH,113048.SH,113049.SH,113051.SH,113052.SH,113053.SH,113054.SH,113056.SH,113058.SH,113059.SH,113062.SH,113066.SH,113067.SH,113070.SH,113584.SH,113588.SH,113589.SH,113597.SH,113605.SH,113610.SH,113615.SH,113616.SH,113624.SH,113625.SH,113627.SH,113631.SH,113632.SH,113633.SH,113634.SH,113636.SH,113638.SH,113640.SH,113643.SH,113644.SH,113646.SH,113647.SH,113648.SH,113649.SH,113650.SH,113652.SH,113654.SH,113655.SH,113656.SH,113658.SH,113659.SH,113660.SH,113661.SH,113665.SH,113666.SH,113667.SH,113670.SH,113671.SH,113673.SH,113674.SH,113677.SH,113678.SH,113679.SH,113680.SH,113681.SH,113682.SH,113686.SH,113688.SH,113691.SH,113692.SH,113693.SH,113694.SH,113695.SH,113696.SH,113697.SH,113698.SH,113699.SH,113700.SH,113701.SH,113702.SH,118003.SH,118004.SH,118005.SH,118007.SH,118010.SH,118011.SH,118012.SH,118013.SH,118015.SH,118016.SH,118018.SH,118020.SH,118022.SH,118024.SH,118025.SH,118027.SH,118030.SH,118031.SH,118032.SH,118033.SH,118034.SH,118035.SH,118036.SH,118037.SH,118039.SH,118040.SH,118041.SH,118042.SH,118044.SH,118050.SH,118051.SH,118052.SH,118053.SH,118056.SH,118057.SH,118058.SH,118059.SH,118060.SH,118061.SH,118062.SH,118063.SH,118064.SH,118065.SH,118066.SH,118067.SH,123054.SZ,123059.SZ,123061.SZ,123064.SZ,123065.SZ,123071.SZ,123072.SZ,123076.SZ,123080.SZ,123085.SZ,123088.SZ,123090.SZ,123091.SZ,123092.SZ,123104.SZ,123107.SZ,123109.SZ,123112.SZ,123113.SZ,123114.SZ,123117.SZ,123118.SZ,123119.SZ,123121.SZ,123122.SZ,123124.SZ,123126.SZ,123129.SZ,123131.SZ,123133.SZ,123138.SZ,123142.SZ,123144.SZ,123149.SZ,123150.SZ,123151.SZ,123154.SZ,123155.SZ,123157.SZ,123158.SZ,123160.SZ,123165.SZ,123168.SZ,123171.SZ,123172.SZ,123173.SZ,123175.SZ,123176.SZ,123178.SZ,123179.SZ,123180.SZ,123183.SZ,123187.SZ,123188.SZ,123189.SZ,123192.SZ,123193.SZ,123194.SZ,123195.SZ,123196.SZ,123198.SZ,123199.SZ,123207.SZ,123209.SZ,123211.SZ,123213.SZ,123214.SZ,123215.SZ,123216.SZ,123220.SZ,123222.SZ,123223.SZ,123224.SZ,123225.SZ,123229.SZ,123235.SZ,123236.SZ,123237.SZ,123241.SZ,123243.SZ,123245.SZ,123247.SZ,123250.SZ,123251.SZ,123252.SZ,123253.SZ,123255.SZ,123256.SZ,123257.SZ,123258.SZ,123259.SZ,123260.SZ,123261.SZ,123262.SZ,123263.SZ,123264.SZ,123265.SZ,123266.SZ,123267.SZ,123268.SZ,123269.SZ,127017.SZ,127018.SZ,127024.SZ,127025.SZ,127026.SZ,127027.SZ,127030.SZ,127031.SZ,127033.SZ,127034.SZ,127037.SZ,127038.SZ,127040.SZ,127041.SZ,127044.SZ,127045.SZ,127046.SZ,127047.SZ,127049.SZ,127050.SZ,127053.SZ,127054.SZ,127055.SZ,127056.SZ,127059.SZ,127060.SZ,127061.SZ,127062.SZ,127064.SZ,127066.SZ,127067.SZ,127068.SZ,127069.SZ,127070.SZ,127072.SZ,127078.SZ,127079.SZ,127080.SZ,127082.SZ,127083.SZ,127084.SZ,127085.SZ,127088.SZ,127089.SZ,127090.SZ,127092.SZ,127093.SZ,127095.SZ,127096.SZ,127098.SZ,127099.SZ,127102.SZ,127103.SZ,127104.SZ,127105.SZ,127108.SZ,127109.SZ,127110.SZ,127111.SZ,127112.SZ,127113.SZ,128044.SZ,128108.SZ,128119.SZ,128121.SZ,128124.SZ,128125.SZ,128127.SZ,128128.SZ,128129.SZ,128134.SZ,128135.SZ,128136.SZ,128137.SZ,128138.SZ,128141.SZ,128142.SZ,132024.SH,132026.SH
2022-06-24,106.66,178.78,130.63,111.21,130.21,117.6,122.63,153.33,118.05,100.0,,,,,,,,,132.5,124.92,140.65,193.19,142.54,100.0,,,,,,,,,,,,,,103.97,139.76,105.08,109.31,110.23,127.87,131.78,140.42,109.92,131.7,109.0,100.8,116.02,128.06,,,,,104.21,112.09,98.44,128.79,110.35,112.68,167.35,122.79,109.74,113.69,109.05,113.82,116.05,115.86,133.8,125.66,119.98,123.98,123.72,116.51,296.34,125.94,131.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.36,121.14,134.58,164.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,120.3,123.13,122.251,120.0,173.484,138.8,107.2,129.721,156.59,124.238,117.9,136.597,211.438,115.2,132.162,113.7,133.7,108.19,167.0,111.628,115.656,113.166,167.49,119.7,113.0,115.45,115.156,127.44,126.701,164.193,120.795,131.151,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.93,116.63,105.91,112.0,117.611,141.438,164.293,125.875,114.369,105.15,145.933,162.0,132.586,111.41,112.97,129.3,115.0,103.0,124.205,130.87,121.206,115.3,114.573,118.7,150.0,128.8,118.201,141.389,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.294,101.175,128.299,125.801,100.455,109.403,110.5,145.44,103.869,127.421,124.56,112.622,129.102,115.5,134.5,112.61,,
2022-07-01,106.96,174.18,137.51,113.95,133.27,122.13,123.6,155.56,125.3,100.0,,,,,,,,,134.15,127.68,138.74,182.96,137.8,100.0,,,,,,,,,,,,,,104.08,140.03,105.16,109.88,112.8,128.62,130.42,140.83,111.88,136.15,111.84,101.03,115.0,126.55,,,,,104.92,112.56,98.76,128.08,111.11,116.19,168.65,127.45,110.65,117.51,109.88,114.85,118.57,119.51,138.32,125.51,121.17,126.86,123.78,121.0,286.11,126.08,134.7,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.58,119.31,143.0,159.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.0,121.79,123.427,122.268,123.839,173.371,137.72,107.8,131.878,158.0,127.931,119.68,140.968,244.0,116.852,132.55,118.0,137.94,112.12,171.051,112.11,116.87,117.4,141.31,126.35,115.644,115.982,117.31,129.15,128.584,157.308,121.591,127.983,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.09,118.5,108.05,114.786,117.916,148.5,162.098,127.191,115.39,106.405,139.7,170.6,131.097,114.75,117.7,129.9,122.212,105.7,123.958,125.6,118.172,117.296,122.52,118.236,144.0,130.19,118.901,139.199,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.35,102.42,125.12,126.483,100.349,111.17,110.722,150.133,104.9,133.75,125.09,114.88,133.852,116.151,140.5,115.126,,
2022-07-08,105.68,173.59,138.0,114.83,133.75,120.51,124.46,165.15,124.0,100.0,,,,,,,,,131.58,124.92,140.22,180.43,136.14,100.0,,,,,,,,,,,,,,103.39,143.28,105.25,108.87,113.19,131.36,129.78,141.85,111.42,133.03,110.61,100.85,114.82,126.59,,,,,105.0,114.72,98.7,126.15,111.18,115.33,164.82,123.69,109.93,116.24,110.55,114.82,117.02,115.97,137.13,127.98,123.3,127.94,121.72,121.49,266.2,126.71,147.96,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.8,118.89,141.67,156.23,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.5,119.385,122.6,122.96,120.84,180.61,138.736,107.001,129.234,169.4,123.7,123.514,138.5,265.99,116.24,143.098,115.212,137.999,111.013,176.712,113.465,115.831,115.702,156.12,126.403,114.1,115.57,116.843,124.924,126.554,157.1,120.048,125.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,116.853,106.401,113.4,116.429,141.49,155.39,128.848,114.6,105.91,143.0,178.2,128.99,113.536,115.61,141.5,120.195,106.117,130.456,128.25,119.55,116.3,121.601,119.235,142.201,131.366,118.0,139.987,144.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.749,103.992,127.339,126.176,100.661,110.0,110.108,145.857,104.238,130.6,124.8,114.529,128.374,116.138,142.08,113.78,,
2022-07-15,104.8,171.07,135.86,116.2,130.29,118.44,118.02,157.38,122.84,100.0,,,,,,,,,137.95,121.41,136.09,168.46,137.08,100.0,,,,,,,,,,,,,,102.99,143.16,105.42,107.26,111.53,130.73,128.22,147.78,109.07,136.3,110.3,99.99,113.3,128.0,,,,,103.3,112.82,97.71,123.29,110.48,114.21,167.15,121.71,108.61,111.23,108.99,114.44,126.0,115.01,138.38,127.57,120.0,124.43,120.02,117.86,241.8,129.88,148.5,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.81,115.09,139.15,146.05,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.098,116.12,121.489,120.733,118.6,199.8,134.211,105.257,128.922,172.981,124.359,123.0,129.6,263.0,114.889,137.401,115.322,131.845,110.871,176.5,112.593,115.096,114.76,165.798,123.599,112.322,114.171,114.332,123.578,126.05,141.462,122.2,127.2,134.7,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,114.71,106.551,112.88,114.96,136.8,165.2,128.782,113.366,104.8,148.362,182.163,126.7,111.157,111.8,136.7,118.5,103.035,126.9,129.7,120.1,116.556,120.546,120.828,140.949,128.0,115.535,133.333,161.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.925,101.079,125.5,126.2,100.58,108.55,109.0,142.823,102.938,129.4,124.82,113.694,127.771,115.759,142.6,111.152,,
2022-07-22,105.62,183.39,135.1,115.29,131.09,119.63,123.06,149.05,123.88,118.54,,,,,,,,,137.49,123.0,137.7,167.52,140.63,100.0,,,,,,,,,,,,,,103.91,144.84,105.73,109.03,113.71,132.72,129.18,151.57,108.66,134.37,114.19,100.26,115.0,128.4,,,,,104.3,113.55,98.13,124.71,110.84,114.83,166.56,122.81,110.92,114.89,110.75,117.44,126.1,116.21,137.26,133.98,129.26,126.04,122.28,116.82,253.95,130.5,143.51,124.93,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.47,115.68,138.32,145.67,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.716,118.422,123.5,121.376,121.626,194.091,135.0,107.0,129.946,194.9,129.601,122.55,134.3,289.89,116.2,137.953,118.276,141.0,110.077,174.2,114.195,118.012,114.562,175.405,125.751,116.0,115.5,116.1,127.0,126.201,144.7,122.998,129.0,137.8,128.007,129.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.805,115.883,108.96,113.42,117.342,135.45,160.8,127.002,115.053,106.584,149.319,184.75,125.564,113.6,110.965,132.95,118.69,103.32,125.0,130.173,121.17,118.483,124.3,120.68,140.849,126.23,115.9,133.388,165.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.012,102.6,123.299,127.988,100.84,110.809,110.702,149.551,103.281,127.7,123.6,114.18,129.0,117.072,147.999,112.46,,
2022-07-29,105.87,192.75,134.34,115.26,130.67,119.67,124.7,146.98,122.4,119.6,,,,,,,,,136.58,125.77,137.59,165.7,154.34,127.12,,,,,,,,,,,,,,103.92,149.23,105.91,108.6,116.86,135.58,128.22,155.62,109.62,135.96,114.44,100.61,114.5,133.2,,,,,104.63,113.9,98.65,127.03,111.94,115.35,171.85,123.16,111.14,115.8,110.92,119.21,126.04,116.06,143.99,135.68,131.12,124.95,122.24,120.83,245.58,135.7,154.86,126.34,126.99,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.02,115.72,138.9,144.85,100.0,100.0,128.68,137.31,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.0,118.721,129.8,121.991,122.746,193.0,138.38,107.7,134.56,228.0,139.0,127.697,133.0,306.0,116.299,142.609,120.994,157.32,111.84,180.5,112.978,122.011,113.069,190.0,126.68,116.4,117.98,118.36,126.7,125.368,148.5,127.2,139.507,139.0,130.111,126.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.1,116.64,108.77,113.427,118.629,140.074,176.2,126.799,116.149,106.717,171.15,185.501,125.55,114.9,112.7,133.812,118.851,103.964,124.58,135.194,123.181,119.182,126.723,120.979,146.4,125.0,117.5,132.7,169.999,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.536,103.367,124.374,133.124,101.28,111.545,110.837,144.615,103.365,127.5,123.692,115.327,130.075,119.3,162.51,113.099,,
2022-08-05,105.71,197.895,132.512,116.134,130.737,125.18,120.665,145.118,120.601,118.311,,,,,,,,,136.405,122.61,134.195,161.472,152.933,128.157,,,,,,,,,,,,,,104.387,144.725,106.477,108.452,116.974,127.628,125.863,146.426,109.026,133.529,113.564,100.73,114.61,131.99,,,,,104.955,114.171,98.83,125.714,112.662,114.76,172.554,127.748,111.308,115.119,112.25,116.666,128.766,116.32,145.5,131.017,128.562,126.953,122.222,121.037,231.944,130.784,145.608,128.466,126.057,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.921,116.249,139.533,146.29,128.311,139.899,132.346,143.347,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.972,120.51,132.279,119.874,123.78,175.5,135.988,110.75,135.18,206.91,139.1,126.12,131.425,286.478,115.464,140.2,119.367,147.577,111.551,176.51,113.751,122.2,113.842,191.0,128.909,124.6,118.151,118.52,128.256,125.6,141.359,131.66,133.036,134.4,132.0,123.6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.55,116.011,108.833,112.822,123.999,136.328,185.001,128.0,114.736,106.217,160.354,196.847,124.7,114.075,109.97,134.3,118.7,103.378,123.873,136.4,120.988,118.299,124.127,119.6,159.6,125.8,117.8,128.1,180.132,136.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.02,102.906,122.425,130.484,101.037,111.077,109.635,149.433,103.15,124.702,124.388,117.35,138.3,119.039,158.2,113.54,,
2022-08-12,106.537,202.515,136.551,116.367,132.398,124.041,125.617,148.787,122.518,119.918,,,,,,,,,137.125,123.598,134.228,157.52,149.954,127.785,,,,,,,,,,,,,,104.884,149.045,106.656,110.099,117.955,134.52,124.891,150.332,109.324,136.38,114.074,100.84,114.9,135.897,,,,,105.636,114.242,100.019,126.03,113.421,115.96,180.846,127.691,111.812,116.077,113.199,119.782,131.336,117.12,148.209,144.488,130.125,132.803,123.601,121.2,231.798,130.001,144.509,131.161,130.502,128.238,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.114,117.346,139.5,140.439,129.423,147.916,144.206,147.95,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.55,121.52,130.22,120.418,124.169,181.55,134.9,111.155,139.282,202.5,139.158,123.87,134.88,335.0,116.161,139.55,122.856,162.806,111.87,174.594,114.3,123.94,116.899,191.18,128.4,124.031,119.0,122.344,129.0,126.3,143.219,130.229,150.511,136.689,130.3,124.46,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.501,117.147,109.4,114.0,124.184,146.6,200.586,131.8,117.1,106.794,166.971,201.027,127.65,116.89,111.16,134.48,117.612,104.349,125.39,138.6,124.798,120.5,125.01,121.0,162.78,127.12,119.5,129.53,191.2,136.8,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.91,105.3,122.999,133.43,103.9,111.715,110.311,161.983,103.783,126.26,126.803,119.4,136.4,119.476,159.0,114.64,,
2022-08-19,106.17,195.412,133.702,114.077,132.295,120.5,125.501,160.505,121.5,122.027,,,,,,,,,138.661,122.246,131.813,148.27,142.35,124.994,,,,,,,,,,,,,,104.829,157.706,106.848,109.25,116.069,137.773,124.001,158.914,109.693,132.654,113.16,100.977,113.364,133.744,,,,,106.378,114.895,100.48,123.29,112.698,114.774,193.808,123.761,112.255,113.939,111.968,121.07,130.352,115.109,141.92,139.438,124.924,129.22,123.522,117.793,205.869,132.154,158.862,128.243,126.489,129.005,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.347,115.317,133.706,135.52,127.096,137.593,134.881,137.781,136.453,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.19,119.076,127.403,119.356,121.615,186.58,131.5,108.52,141.835,200.115,138.8,122.0,134.0,316.807,115.788,145.601,118.76,156.593,111.2,160.615,113.0,125.5,123.5,204.0,123.801,122.004,117.54,119.05,124.979,135.0,138.8,126.998,142.45,137.872,128.0,122.75,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.9,116.39,108.7,113.107,122.427,146.367,197.466,128.9,116.531,106.778,174.5,196.361,126.715,115.197,111.26,138.707,114.983,105.226,128.37,135.5,125.5,117.929,122.707,119.133,160.5,129.001,117.3,131.706,173.5,134.501,118.822,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.41,103.251,122.42,137.9,104.279,110.924,110.45,159.348,103.367,123.391,123.57,117.999,135.0,120.97,152.414,113.9,,
2022-08-26,105.966,164.238,134.641,113.295,131.377,117.031,125.25,151.11,118.984,120.498,,,,,,,,,129.28,122.161,129.86,144.553,138.66,121.997,,,,,,,,,,,,,,104.681,145.695,106.745,109.309,113.113,132.865,127.82,148.99,109.125,128.999,112.001,100.601,115.65,132.725,,,,,104.564,118.028,100.721,124.008,111.838,114.344,186.51,120.001,110.781,114.016,111.297,119.91,127.68,114.382,141.105,141.246,120.924,132.079,121.383,117.244,189.774,130.039,148.425,124.887,123.5,128.043,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.862,114.0,131.964,130.258,123.838,127.69,129.807,128.097,130.537,124.644,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.5,118.691,123.7,116.952,119.304,170.762,128.39,108.474,133.996,175.998,127.687,121.976,130.3,307.5,115.66,147.497,117.061,138.2,112.0,155.7,113.636,124.934,123.784,185.0,121.477,116.3,115.784,116.0,121.127,140.09,132.9,120.276,132.121,130.383,124.143,121.83,124.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.45,116.02,108.065,112.517,118.833,145.099,180.0,125.707,113.7,107.901,157.769,189.442,125.2,113.301,110.055,136.85,115.183,104.695,128.034,137.199,119.439,117.441,118.8,117.0,143.767,129.647,119.3,124.074,169.98,128.09,118.982,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.919,102.95,120.2,130.35,103.05,111.4,109.099,149.654,103.14,122.797,122.58,116.61,131.286,120.0,142.85,113.998,,
2022-09-02,105.766,151.728,131.93,112.495,131.185,116.931,123.196,139.034,119.9,120.733,,,,,,,,,124.498,119.373,126.141,146.17,135.609,120.525,,,,,,,,,,,,,,103.807,136.719,106.975,108.259,112.801,126.027,123.346,142.802,108.267,126.922,110.956,100.483,117.001,128.994,,,,,104.895,119.021,99.827,120.97,112.82,113.12,174.486,120.623,110.363,112.822,109.511,118.923,125.501,113.126,138.147,137.144,116.127,126.22,122.004,115.2,190.474,130.086,144.299,126.001,121.48,125.501,121.18,130.52,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.26,113.41,125.515,127.135,122.4,125.719,127.508,125.202,123.659,123.792,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.7,117.706,122.15,114.898,118.32,167.333,127.599,107.086,143.5,175.721,125.599,122.176,127.65,286.0,113.958,140.831,114.92,132.1,111.0,147.908,113.605,125.438,123.34,168.0,120.726,116.3,114.0,115.86,118.888,139.2,129.393,122.3,127.63,125.85,127.97,121.637,123.746,121.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.118,115.4,107.286,111.8,117.467,136.92,163.505,123.632,111.624,106.821,151.079,185.3,123.087,111.984,108.98,136.018,113.89,101.58,125.3,131.166,119.76,115.151,116.85,117.263,136.062,128.58,117.439,120.72,159.501,123.916,118.169,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.183,101.833,118.399,127.3,101.699,110.1,109.38,139.577,102.95,123.495,122.5,117.63,127.97,118.311,137.9,113.093,,
2022-09-09,106.251,154.333,135.296,112.82,133.98,116.757,125.736,144.724,121.292,123.263,,,,,,,,,124.675,120.333,127.861,144.326,136.783,122.435,,,,,,,,,,,,,,104.999,142.219,107.127,108.682,113.755,126.451,124.918,148.917,109.51,127.121,111.101,100.701,117.824,131.731,,,,,105.869,118.004,99.611,121.606,113.001,113.257,189.513,116.833,110.695,114.303,108.449,120.354,125.024,113.268,140.676,139.475,117.221,125.048,120.972,114.113,201.071,126.659,140.147,126.492,126.484,126.735,126.371,138.549,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.205,113.436,131.764,127.684,122.575,125.027,127.739,127.719,124.502,123.628,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.203,118.211,125.776,114.78,118.6,177.48,129.25,107.93,147.036,180.846,128.01,122.058,129.163,300.649,114.0,138.712,114.835,136.01,110.219,157.529,114.699,126.99,122.502,185.701,121.3,115.77,115.1,115.9,118.377,135.998,128.5,122.81,130.71,129.08,129.9,122.281,126.038,120.498,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.02,116.55,107.9,112.579,117.637,132.534,175.499,124.29,113.0,108.66,150.136,195.799,125.022,112.079,110.599,136.0,114.609,102.49,124.401,135.847,123.293,117.303,119.58,117.81,137.427,127.19,118.3,124.046,164.004,124.6,119.5,123.702,131.85,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.395,101.96,119.35,131.4,103.568,110.5,110.18,145.974,103.489,128.987,123.0,115.96,128.0,119.052,140.449,112.34,,
2022-09-16,105.603,143.354,132.683,111.298,129.553,114.116,124.196,134.839,116.965,120.008,,,,,,,,,120.921,118.605,125.158,142.366,130.76,118.331,,,,,,,,,,,,,,104.399,130.701,107.111,107.699,110.107,120.154,122.203,138.068,108.517,124.804,108.291,100.48,117.565,128.078,100.0,,,,105.573,114.544,99.086,119.216,112.246,111.956,185.811,115.776,109.427,113.987,108.199,115.877,123.051,111.525,138.899,134.698,115.052,120.273,119.766,113.584,199.088,123.911,136.32,126.628,120.009,124.899,124.063,138.362,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.77,111.713,123.414,125.631,118.889,121.666,125.3,124.975,119.827,121.95,116.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.745,117.0,124.3,112.24,116.6,154.654,127.2,106.309,167.216,161.0,123.51,119.11,125.193,272.564,113.485,135.501,113.08,130.5,109.013,154.3,112.795,125.2,122.87,167.7,119.159,113.457,113.673,113.95,117.013,133.699,123.16,120.2,124.87,124.0,125.344,118.049,126.38,116.82,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,115.7,107.1,111.756,115.34,125.9,161.0,122.905,109.2,106.8,139.63,191.0,120.7,111.188,110.0,137.451,112.384,102.051,122.062,130.162,119.802,115.15,117.047,115.6,131.276,124.77,115.66,119.2,159.85,120.0,116.203,118.099,127.001,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.328,101.503,118.39,133.232,101.918,109.7,109.065,137.14,102.997,125.318,123.299,115.0,125.324,118.697,134.375,111.246,,
2022-09-23,104.837,147.858,133.392,109.905,128.351,112.219,123.019,130.28,116.024,118.181,100.0,,,,,,,,130.577,115.637,122.311,147.603,128.39,118.291,,,,,,,,,,,,,,104.55,131.32,107.02,107.612,110.314,120.398,119.025,136.627,107.852,125.316,107.402,100.164,116.348,129.002,100.0,,,,103.994,113.266,98.556,118.274,110.741,111.172,188.086,116.103,108.172,112.853,107.798,118.124,121.396,110.022,137.779,133.274,116.08,121.915,118.468,111.4,203.025,121.793,127.067,131.758,118.241,123.967,127.568,134.617,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.13,110.409,123.256,121.493,114.843,118.46,126.384,126.627,118.444,118.238,114.931,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,115.488,122.86,110.98,115.99,150.5,126.48,106.676,139.0,165.599,122.36,119.0,124.143,278.799,113.594,132.91,113.893,130.999,109.0,153.996,111.705,120.322,122.0,173.783,116.4,110.867,113.031,112.805,116.844,130.585,121.982,123.086,124.499,124.5,122.019,115.38,122.528,115.48,115.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.978,115.649,105.939,108.999,115.8,130.5,166.5,120.397,108.43,106.867,146.001,187.62,121.5,110.57,109.132,130.471,115.01,101.132,119.33,125.99,119.044,113.736,117.96,115.021,133.724,121.84,114.0,116.461,161.001,118.89,113.914,119.999,125.8,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,114.161,101.023,117.697,136.45,102.55,109.2,107.912,135.214,102.862,127.801,121.161,114.0,124.4,118.42,135.6,111.274,,
